timestamp,session_id,issue,agent,model,tokens_input,tokens_output,tokens_reasoning,cache_read,cache_write,cost_usd
2026-07-23T12:00:41Z,ses_072114ab8ffez2vixkfI8NBS42,74,build,big-pickle,729733,57586,29576,22318016,0,0.000000
2026-07-23T12:20:11Z,ses_072114ab8ffez2vixkfI8NBS42,86,build,big-pickle,767693,62482,38936,26958912,0,0.000000
2026-07-23T12:28:30Z,ses_072114ab8ffez2vixkfI8NBS42,87,build,big-pickle,777638,65631,39470,28537728,0,0.000000
2026-07-23T12:32:50Z,ses_072114ab8ffez2vixkfI8NBS42,88,build,big-pickle,861313,69836,40093,29489600,0,0.000000
2026-07-24T07:07:51Z,ses_06d1d2485ffeIoCKfIzvjbstjZ,103,build,big-pickle,38801,5321,1566,990464,0,0.000000
2026-07-24T07:33:24Z,ses_06d1d2485ffeIoCKfIzvjbstjZ,103,build,big-pickle,57602,8462,2884,2412864,0,0.000000
2026-07-24T08:14:33Z,ses_06d1d2485ffeIoCKfIzvjbstjZ,106,build,big-pickle,286355,24207,5904,9385280,0,0.000000
2026-07-24T18:13:53Z,ses_06aae87dbffelozVjgk5lmHCwt,123,build,big-pickle,25083,1831,992,514368,0,0.000000
2026-07-25T11:45:58Z,ses_066f84ec8ffeLydh7HkHOr0QMz,125,build,big-pickle,64801,7715,6073,2051840,0,0.000000
2026-07-25T11:54:22Z,ses_066f84ec8ffeLydh7HkHOr0QMz,126,build,big-pickle,84647,13920,7113,3663936,0,0.000000
2026-07-26T10:29:11Z,ses_0621f2cf0ffe1ixkdjjAJMVCcd,136,build,big-pickle,84787,7518,1731,1748096,0,0.000000
2026-07-26T14:26:52Z,ses_0621f2cf0ffe1ixkdjjAJMVCcd,146,build,big-pickle,425009,42042,19369,17723200,0,0.000000
2026-07-26T14:35:59Z,ses_0621f2cf0ffe1ixkdjjAJMVCcd,148,build,big-pickle,673352,47561,20407,18561728,0,0.000000
2026-07-26T14:50:26Z,ses_0621f2cf0ffe1ixkdjjAJMVCcd,153,build,big-pickle,847383,54771,21495,21786752,0,0.000000
2026-07-26T16:21:12Z,ses_0621f2cf0ffe1ixkdjjAJMVCcd,154,build,big-pickle,874817,63397,22609,25816896,0,0.000000
2026-07-26T16:37:32Z,ses_0621f2cf0ffe1ixkdjjAJMVCcd,155,build,big-pickle,997563,75576,24123,30773184,0,0.000000
2026-07-26T16:51:22Z,ses_0621f2cf0ffe1ixkdjjAJMVCcd,155,build,nvidia/nemotron-3-ultra-550b-a55b,1187944,81727,24676,31786688,0,0.207502
2026-07-27T11:26:59Z,ses_05cd943e0ffe9K27eg4Txc3uXJ,169,build,big-pickle,244143,17654,5707,4702720,0,0.000000
2026-07-27T11:29:43Z,ses_05cd943e0ffe9K27eg4Txc3uXJ,169,build,big-pickle,250021,18799,6010,5526592,0,0.000000
